pressure(bar),heat flux(kW/m2),mass fluxkg/(m2⋅s),sub cooling,channel dia(mm),d/dMax,t/tMax
3,149.3,367.9,22,3.846,0.5303052261,0.8350858353
3,149.3,367.9,22,3.846,0.3076804406,0.9175116384
3,149.3,367.9,22,3.846,0.05908175047,1
1.2,84.1,214.6,21,3.846,0.2813765182,0.073203083
1.2,84.1,214.6,21,3.846,0.5020242914,0.1475891737
1.2,84.1,214.6,21,3.846,0.6315789473,0.2235884567
1.2,84.1,214.6,21,3.846,0.7105263158,0.3004839577
1.2,84.1,214.6,21,3.846,0.7914979754,0.3675569099
1.2,84.1,214.6,21,3.846,0.8441295542,0.4644918445
1.2,84.1,214.6,21,3.846,0.8967611335,0.5027065783
1.2,84.1,214.6,21,3.846,0.9109311737,0.6003226386
1.2,84.1,214.6,21,3.846,0.9453441295,0.6780068113
1.2,84.1,214.6,21,3.846,0.963562753,0.7461910738
1.2,84.1,214.6,21,3.846,1,1
3,149.3,230.5,22,3.846,0.3271028037,0.1001565688
3,149.3,230.5,22,3.846,0.5186915888,0.2147838876
3,149.3,230.5,22,3.846,0.6074766355,0.3563600133
3,149.3,230.5,22,3.846,0.7476635514,0.4326517057
3,149.3,230.5,22,3.846,0.8084112149,0.5097499644
3,149.3,230.5,22,3.846,0.8317757009,0.6131327988
3,149.3,230.5,22,3.846,0.9485981308,0.6896617166
3,149.3,230.5,22,3.846,0.9672897196,0.8319495184
3,149.3,230.5,22,3.846,0.9813084112,0.9354272429
3,149.3,230.5,22,3.846,1,1
6.1,58.2,228.6,30,3.846,0.5079365079,0.02329951282
6.1,58.2,228.6,30,3.846,0.6031746033,0.03894988719
6.1,58.2,228.6,30,3.846,0.7222222222,0.07812971564
6.1,58.2,228.6,30,3.846,0.7222222222,0.1163825934
6.1,58.2,228.6,30,3.846,0.7380952382,0.1556091287
6.1,58.2,228.6,30,3.846,0.7539682541,0.194835664
6.1,58.2,228.6,30,3.846,0.7539682541,0.2301460127
6.1,58.2,228.6,30,3.846,0.7619047619,0.2703569838
6.1,58.2,228.6,30,3.846,0.7698412699,0.3066445828
6.1,58.2,228.6,30,3.846,0.7698412699,0.3439166176
6.1,58.2,228.6,30,3.846,0.7698412699,0.3851120246
6.1,58.2,228.6,30,3.846,0.7857142857,0.4243385598
6.1,58.2,228.6,30,3.846,0.7857142857,0.4616105947
6.1,58.2,228.6,30,3.846,0.8015873017,0.5008371299
6.1,58.2,228.6,30,3.846,0.8174603176,0.5381019791
6.1,58.2,228.6,30,3.846,0.8174603176,0.5763548569
6.1,58.2,228.6,30,3.846,0.8333333334,0.6155813922
6.1,58.2,228.6,30,3.846,0.8650793652,0.6548007417
6.1,58.2,228.6,30,3.846,0.880952381,0.6920655909
6.1,58.2,228.6,30,3.846,0.9047619049,0.7293268473
6.1,58.2,228.6,30,3.846,0.9523809525,0.7705006972
6.1,58.2,228.6,30,3.846,0.9444444445,0.8058146387
6.1,58.2,228.6,30,3.846,0.9761904762,0.8460148315
6.1,58.2,228.6,30,3.846,0.9920634922,0.8842605234
6.1,58.2,228.6,30,3.846,0.9761904762,0.9215397443
6.1,58.2,228.6,30,3.846,1,0.9597818436
6.1,58.2,228.6,30,3.846,0.9920634922,1
10.4,148.5,203.4,31,3.846,0.411111111,0.00943204789
10.4,148.5,203.4,31,3.846,0.4444444443,0.01368173765
10.4,148.5,203.4,31,3.846,0.4777777777,0.01686607819
10.4,148.5,203.4,31,3.846,0.5111111111,0.02111576795
10.4,148.5,203.4,31,3.846,0.5333333332,0.02750005854
10.4,148.5,203.4,31,3.846,0.6888888888,0.04022961594
10.4,148.5,203.4,31,3.846,0.7666666665,0.08281626825
10.4,148.5,203.4,31,3.846,0.8333333332,0.1648247443
10.4,148.5,203.4,31,3.846,0.8888888887,0.2500331702
10.4,148.5,203.4,31,3.846,0.8888888887,0.3363264574
10.4,148.5,203.4,31,3.846,0.8777777778,0.4162315516
10.4,148.5,203.4,31,3.846,0.8999999999,0.5003863355
10.4,148.5,203.4,31,3.846,0.9111111111,0.5813489742
10.4,148.5,203.4,31,3.846,0.9444444445,0.6686959034
10.4,148.5,203.4,31,3.846,0.9444444445,0.7464663968
10.4,148.5,203.4,31,3.846,0.9888888888,0.8316787252
10.4,148.5,203.4,31,3.846,1,0.9158374111
10.4,148.5,203.4,31,3.846,1,1
1,0.095,425,12,0.465,9.781513,0.1478601444
1,0.095,425,12,0.465,9.714286,0.1595328127
1,0.095,425,12,0.465,9.613445,0.1595328127
1,0.095,425,12,0.465,9.478992,0.1770428172
1,0.095,425,12,0.465,9.546218,0.171206483
1,0.095,425,12,0.465,9.310924,0.1945528216
1,0.095,425,12,0.465,9.378151,0.1828791513
1,0.095,425,12,0.465,9.109244,0.2178991602
1,0.095,425,12,0.465,9.210084,0.2062254899
1,0.095,425,12,0.465,8.941176,0.2354081627
1,0.095,425,12,0.465,8.87395,0.2587545012
1,0.095,425,12,0.465,8.773109,0.2879381759
1,0.095,425,12,0.465,8.672269,0.3346308531
1,0.095,425,12,0.465,8.605042,0.3813235303
1,0.095,425,12,0.465,8.504202,0.4280152055
1,0.095,425,12,0.465,8.369748,0.4805452188
1,0.095,425,12,0.465,8.302521,0.527237896
1,0.095,425,12,0.465,8.201681,0.5622569029
1,0.095,425,12,0.465,8.067227,0.5856032415
1,0.095,425,12,0.465,8,0.6089495801
1,0.095,425,12,0.465,7.865546,0.6264595845
1,0.095,425,12,0.465,7.764706,0.6381322528
1,0.095,425,12,0.465,7.731092,0.6381322528
1,0.095,425,12,0.465,7.630252,0.6381322528
1,0.095,425,12,0.465,7.529412,0.6381322528
1,0.095,425,12,0.465,7.529412,0.6381322528
1,0.095,425,12,0.465,7.361345,0.6381322528
1,0.095,425,12,0.465,7.462185,0.6381322528
1,0.095,425,12,0.465,7.260504,0.643968587
1,0.095,425,12,0.465,7.058824,0.6498059231
1,0.095,425,12,0.465,7.193277,0.643968587
1,0.095,425,12,0.465,6.92437,0.6498059231
1,0.095,425,12,0.465,6.756303,0.6498059231
1,0.095,425,12,0.465,6.756303,0.6498059231
1,0.095,425,12,0.465,6.588235,0.6614785914
1,0.095,425,12,0.465,6.319328,0.6731522617
1,0.095,425,12,0.465,6.420168,0.6673149256
1,0.095,425,12,0.465,6.521008,0.6614785914
1,0.095,425,12,0.465,6.823529,0.6498059231
1,0.095,425,12,0.465,6.689076,0.6556422573
1,0.095,425,12,0.465,5.983193,0.68482493
1,0.095,425,12,0.465,6.05042,0.68482493
1,0.095,425,12,0.465,6.117647,0.6789885959
1,0.095,425,12,0.465,6.252101,0.6789885959
1,0.095,425,12,0.465,5.579832,0.725681273
1,0.095,425,12,0.465,5.647059,0.7198449389
1,0.095,425,12,0.465,5.915966,0.6906612642
1,0.095,425,12,0.465,5.848739,0.7023349344
1,0.095,425,12,0.465,5.747899,0.7081712686
1,0.095,425,12,0.465,5.411765,0.7431912775
1,0.095,425,12,0.465,5.512605,0.7315176072
1,0.095,425,12,0.465,5.310924,0.7548639458
1,0.095,425,12,0.465,5.176471,0.7665376161
1,0.095,425,12,0.465,4.605042,0.8132292913
1,0.095,425,12,0.465,4.739496,0.7957202888
1,0.095,425,12,0.465,4.840336,0.7898839546
1,0.095,425,12,0.465,4.97479,0.7782102844
1,0.095,425,12,0.465,5.109244,0.7723739502
1,0.095,425,12,0.465,4.672269,0.801556623
1,0.095,425,12,0.465,4.504202,0.8132292913
1,0.095,425,12,0.465,4.403361,0.8249029616
1,0.095,425,12,0.465,4.235294,0.842412966
1,0.095,425,12,0.465,4.336134,0.8307392957
1,0.095,425,12,0.465,4.168067,0.8482493001
1,0.095,425,12,0.465,3.966387,0.8599219685
1,0.095,425,12,0.465,4.10084,0.8540856343
1,0.095,425,12,0.465,3.798319,0.8715956387
1,0.095,425,12,0.465,3.697479,0.8832683071
1,0.095,425,12,0.465,3.596639,0.8891056432
1,0.095,425,12,0.465,3.495798,0.9007783115
1,0.095,425,12,0.465,3.361345,0.9066146456
1,0.095,425,12,0.465,3.193277,0.9182883159
1,0.095,425,12,0.465,3.294118,0.9124519817
1,0.095,425,12,0.465,3.02521,0.9299609842
1,0.095,425,12,0.465,2.689076,0.9533073228
1,0.095,425,12,0.465,2.857143,0.9416346545
1,0.095,425,12,0.465,2.789916,0.9474709887
1,0.095,425,12,0.465,2.957983,0.9416346545
1,0.095,425,12,0.465,3.12605,0.9182883159
1,0.095,425,12,0.465,2.588235,0.9591446589
1,0.095,425,12,0.465,2.487395,0.9591446589
1,0.095,425,12,0.465,2.285714,0.9766536614
1,0.095,425,12,0.465,2.285714,0.9766536614
1,0.095,425,12,0.465,2.420168,0.9708173272
1,0.095,425,12,0.465,2.218487,0.9766536614
1,0.095,425,12,0.465,2.084034,0.9883273317
1,0.095,425,12,0.465,1.983193,0.9941636658
1,0.095,425,12,0.465,1.882353,0.9883273317
1,0.095,425,12,0.465,1.815126,0.9941636658
1,0.095,425,12,0.465,1.747899,0.9941636658
1,0.095,425,12,0.465,1.647059,0.9941636658
1,0.095,425,12,0.465,1.344538,1
1,0.095,425,12,0.465,1.478992,1
